postcode,dwelling types,number of bedrooms,rent
2000,Total,Total,750
2000,Total,Bedsitter,600
2000,Total,1 Bedroom,669
2000,Total,Not Specified,950
2000,Total,2 Bedrooms,1200
2000,Total,3 Bedrooms,1550
2000,Total,4 or more Bedrooms,
2000,House,Total,930
2000,House,Bedsitter,
2000,House,1 Bedroom,773
2000,House,Not Specified,930
2000,House,2 Bedrooms,998
2000,House,3 Bedrooms,
2000,House,4 or more Bedrooms,
2000,Other,Total,629
2000,Other,Bedsitter,
2000,Other,1 Bedroom,629
2000,Other,Not Specified,
2000,Other,2 Bedrooms,
2000,Other,3 Bedrooms,
2000,Other,4 or more Bedrooms,
2000,Townhouse,Total,
2000,Townhouse,Bedsitter,
2000,Townhouse,1 Bedroom,
2000,Townhouse,Not Specified,
2000,Townhouse,2 Bedrooms,
2000,Townhouse,3 Bedrooms,
2000,Townhouse,4 or more Bedrooms,
2000,Flat/Unit,Total,950
2000,Flat/Unit,Bedsitter,610
2000,Flat/Unit,1 Bedroom,760
2000,Flat/Unit,Not Specified,1050
2000,Flat/Unit,2 Bedrooms,1200
2000,Flat/Unit,3 Bedrooms,1600
2000,Flat/Unit,4 or more Bedrooms,
2007,Total,Total,539
2007,Total,Bedsitter,500
2007,Total,1 Bedroom,433
2007,Total,Not Specified,750
2007,Total,2 Bedrooms,900
2007,Total,3 Bedrooms,1475
2007,Total,4 or more Bedrooms,
2007,House,Total,713
2007,House,Bedsitter,
2007,House,1 Bedroom,548
2007,House,Not Specified,750
2007,House,2 Bedrooms,
2007,House,3 Bedrooms,
2007,House,4 or more Bedrooms,
2007,Other,Total,389
2007,Other,Bedsitter,
2007,Other,1 Bedroom,385
2007,Other,Not Specified,
2007,Other,2 Bedrooms,
2007,Other,3 Bedrooms,
2007,Other,4 or more Bedrooms,
2007,Townhouse,Total,
2007,Townhouse,1 Bedroom,
2007,Townhouse,Not Specified,
2007,Townhouse,2 Bedrooms,
2007,Townhouse,3 Bedrooms,
2007,Townhouse,4 or more Bedrooms,
2007,Flat/Unit,Total,600
2007,Flat/Unit,Bedsitter,500
2007,Flat/Unit,1 Bedroom,493
2007,Flat/Unit,Not Specified,610
2007,Flat/Unit,2 Bedrooms,900
2007,Flat/Unit,3 Bedrooms,
2007,Flat/Unit,4 or more Bedrooms,
2008,Total,Total,680
2008,Total,Bedsitter,498
2008,Total,1 Bedroom,620
2008,Total,Not Specified,770
2008,Total,2 Bedrooms,995
2008,Total,3 Bedrooms,1200
2008,Total,4 or more Bedrooms,1450
2008,House,Total,790
2008,House,Bedsitter,
2008,House,1 Bedroom,620
2008,House,Not Specified,775
2008,House,2 Bedrooms,875
2008,House,3 Bedrooms,1050
2008,House,4 or more Bedrooms,
2008,Other,Total,650
2008,Other,Bedsitter,
2008,Other,1 Bedroom,624
