suburb,postcode,rent,rent(share)
Abbotsbury,2176,,207.0
Abbotsford,2046,550,317.0
Acacia Gardens,2763,,207.0
Agnes Banks,2753,,202.0
Airds,2560,350,181.0
Alexandria,2015,650,367.0
Alfords Point,2234,,257.0
Allambie Heights,2100,525,358.0
Allawah,2218,,248.0
Ambarvale,2560,350,181.0
Annandale,2038,420,375.0
Annangrove,,,
Arcadia,2159,,
Arncliffe,2205,650,365.0
Arndell Park,2148,330,194.0
Artarmon,2064,550,312.0
Ashbury,2193,500,292.0
Ashcroft,2168,,180.0
Ashfield,2131,455,270.0
Asquith,2128,,
Auburn,2144,400,224.0
Austral,2179,,210.0
Avalon Beach,2107,555,391.0
Badgerys Creek,2140,530,272.0
Balgowlah,2093,568,396.0
Balgowlah Heights,2093,568,396.0
Balmain,2041,485,425.0
Balmain East,2041,485,425.0
Bangor,2234,,257.0
Banksia,2216,490,278.0
Banksmeadow,2019,640,367.0
Bankstown,2200,400,214.0
Bankstown Aerodrome,2198,,230.0
Barangaroo,2000,634,558.0
Barden Ridge,2234,,257.0
Bardia,2565,350,188.0
Bardwell Park,2207,415,254.0
Bardwell Valley,2207,415,254.0
Bass Hill,2197,,225.0
Baulkham Hills,2153,490,257.0
Bayview,2104,,
Beacon Hill,2100,525,358.0
Beaconsfield,2015,650,367.0
Beaumont Hills,2155,500,249.0
Beecroft,2119,,
Belfield,2191,,
Bella Vista,2153,490,257.0
Bellevue Hill,2023,600,512.0
Belmore,2192,350,229.0
Belrose,2085,,
Berala,2141,550,265.0
Berkshire Park,2765,,214.0
Berowra,2081,,
Berowra Creek,,,
Berowra Heights,2082,,
Berowra Waters,2082,,
Berrilee,2159,,
Beverley Park,2217,540,270.0
Beverly Hills,2209,,237.0
Bexley,2207,415,254.0
Bexley North,2207,415,254.0
Bidwill,2770,270,163.0
Bilgola Beach,2107,555,391.0
Bilgola Plateau,2107,555,391.0
Birchgrove,2041,485,425.0
Birrong,2143,,207.0
Blackett,2770,270,163.0
Blacktown,2148,330,194.0
Blair Athol,2560,350,181.0
Blairmount,2559,,
Blakehurst,2221,,273.0
Bligh Park,2756,280,197.0
Bondi,2026,580,473.0
Bondi Beach,2026,580,473.0
Bondi Junction,2022,750,472.0
Bonnet Bay,2226,,282.0
Bonnyrigg,2177,,
Bonnyrigg Heights,2177,,
Bossley Park,2176,,207.0
Botany,2019,640,367.0
Bow Bowing,2566,,180.0
Box Hill,2765,,214.0
Bradbury,2560,350,181.0
Breakfast Point,2137,560,312.0
Brighton-Le-Sands,2216,490,278.0
Bringelly,2556,,
Bronte,2024,600,448.0
Brooklyn,2083,,
Brookvale,2100,525,358.0
Bundeena,2230,480,328.0
Bungarribee,2767,,191.0
Burraneer,2230,480,328.0
Burwood,2134,530,356.0
Burwood Heights,2136,,265.0
Busby,2168,,180.0
Cabarita,2137,560,312.0
Cabramatta,2166,280,167.0
Cabramatta West,2166,280,167.0
Caddens,2747,330,174.0
Cambridge Gardens,2747,330,174.0
Cambridge Park,2747,330,174.0
Camellia,2142,400,227.0
Cammeray,2062,510,336.0
Campbelltown,2560,350,181.0
Camperdown,2050,600,404.0
Campsie,2194,450,227.0
Canada Bay,2046,550,317.0
Canley Heights,2166,280,167.0
Canley Vale,2166,280,167.0
Canoelands,2157,,
Canterbury,2193,500,292.0
Caringbah,2229,450,279.0
Caringbah South,2229,450,279.0
Carlingford,2118,480,256.0
Carlton,2218,,248.0
Carnes Hill,2171,,202.0
Carramar,2163,315,198.0
Carss Park,2221,,273.0
Cartwright,2168,,180.0
Castle Cove,2069,500,339.0
Castle Hill,2154,428,279.0
Castlecrag,2068,500,348.0
Castlereagh,2000,634,558.0
Casula,2170,400,207.0
Catherine Field,2557,,200.0
Cattai,2155,500,249.0
Cecil Hills,2171,,202.0
Cecil Park,2178,,
Centennial Park,2021,462,476.0
Chatswood,2067,529,388.0
Chatswood West,2067,529,388.0
Cheltenham,2119,,
Cherrybrook,2126,,
Chester Hill,2162,,219.0
Chifley,2036,700,403.0
Chippendale,2008,559,449.0
Chipping Norton,2170,400,207.0
Chiswick,2046,550,317.0
Chullora,2190,240,237.0
Church Point,2105,,
Claremont Meadows,2747,330,174.0
Clarendon,2756,280,197.0
Clareville,2107,555,391.0
Claymore,2559,,
Clemton Park,2206,565,302.0
Clontarf,2093,568,396.0
Clovelly,2031,620,405.0
Clyde,2142,400,227.0
Coasters Retreat,2108,,
Cobbitty,,,
Colebee,2761,,187.0
Collaroy,2097,500,357.0
Collaroy Plateau,2097,500,357.0
Colyton,2760,280,175.0
Como,2226,,282.0
Concord,2137,560,312.0
Concord West,2138,482,402.0
Condell Park,2200,400,214.0
Connells Point,2221,,273.0
Constitution Hill,2145,450,228.0
Coogee,2034,678,432.0
Cottage Point,2084,,
Cowan,2081,,
Cranebrook,2749,,162.0
Cremorne,2090,565,381.0
Cremorne Point,2090,565,381.0
Cromer,2099,550,350.0
Cronulla,2230,480,328.0
Crows Nest,2065,589,449.0
Croydon,2132,473,273.0
Croydon Park,2133,360,246.0
Curl Curl,2096,585,396.0
Currawong Beach,2108,,
Currans Hill,2567,385,203.0
Daceyville,2032,455,383.0
Dangar Island,2083,,
Darling Point,2027,673,554.0
Darlinghurst,2010,538,438.0
Darlington,2008,559,449.0
Davidson,2085,,
Dawes Point,2000,634,558.0
Dean Park,2761,,187.0
Dee Why,2099,550,350.0
Denham Court,2565,350,188.0
Denistone,2114,500,266.0
Denistone East,2112,530,296.0
Denistone West,2114,500,266.0
Dharruk,2770,270,163.0
Dolans Bay,2229,450,279.0
Dolls Point,2219,540,266.0
Doonside,2767,,191.0
Double Bay,2028,,490.0
Dover Heights,2030,598,430.0
Drummoyne,2047,570,333.0
Duffys Forest,2084,,
Dulwich Hill,2203,500,273.0
Dundas,2117,378,230.0
Dundas Valley,2117,378,230.0
Dural,2158,,
Eagle Vale,2558,,164.0
Earlwood,2206,565,302.0
East Hills,2213,,245.0
East Killara,2071,550,318.0
East Lindfield,2070,540,368.0
East Ryde,2113,600,315.0
Eastern Creek,2766,,183.0
Eastgardens,2036,700,403.0
Eastlakes,2018,700,442.0
Eastwood,2122,438,261.0
Edensor Park,2176,,207.0
Edgecliff,2027,673,554.0
Edmondson Park,2174,450,231.0
Elanora Heights,2101,528,354.0
Elderslie,2570,375,206.0
Elizabeth Bay,2011,512,433.0
Elizabeth Hills,2171,,202.0
Elvina Bay,2105,,
Emerton,2770,270,163.0
Enfield,2136,,265.0
Engadine,2233,,250.0
Englorie Park,2560,350,181.0
Enmore,2042,422,355.0
Epping,2121,550,286.0
Ermington,2115,,275.0
Erskine Park,2759,,192.0
Erskineville,2043,682,382.0
Eschol Park,2558,,164.0
Eveleigh,2015,650,367.0
Fairfield,2165,290,192.0
Fairfield East,2165,290,192.0
Fairfield Heights,2165,290,192.0
Fairfield West,2165,290,192.0
Fairlight,2094,640,423.0
Fiddletown,2159,,
Five Dock,2046,550,317.0
Forest Glen,2749,,162.0
Forest Lodge,2037,515,403.0
Forestville,2087,,
Frenchs Forest,2086,,318.0
Freshwater,2096,585,396.0
Galston,2159,,
Georges Hall,2198,,230.0
Gilead,2560,350,181.0
Girraween,2145,450,228.0
Gladesville,2111,500,284.0
Glebe,2037,515,403.0
Gledswood Hills,2557,,200.0
Glen Alpine,2560,350,181.0
Glendenning,2761,,187.0
Glenfield,2167,,194.0
Glenhaven,2156,,
Glenmore Park,2745,,173.0
Glenorie,2157,,
Glenwood,2768,,217.0
Gordon,2072,538,333.0
Granville,2142,400,227.0
Grays Point,2232,525,270.0
Great Mackerel Beach,2108,,
Green Valley,2168,,180.0
Greenacre,2190,240,237.0
Greendale,2745,,173.0
Greenfield Park,2176,,207.0
Greenhills Beach,2230,480,328.0
Greenwich,2065,589,449.0
Gregory Hills,2557,,200.0
Greystanes,2145,450,228.0
Guildford,2161,355,205.0
Guildford West,2161,355,205.0
Gymea,2227,,283.0
Gymea Bay,2227,,283.0
Haberfield,2045,,350.0
Hammondville,2170,400,207.0
Harrington Park,2567,385,203.0
Harris Park,2150,434,251.0
Hassall Grove,2761,,187.0
Haymarket,2000,634,558.0
Heathcote,2233,,250.0
Hebersham,2770,270,163.0
Heckenberg,2168,,180.0
Henley,2111,500,284.0
Hillsdale,2036,700,403.0
Hinchinbrook,2168,,180.0
Hobartville,2753,,202.0
Holroyd,2142,400,227.0
Holsworthy,2173,,200.0
Homebush,2140,530,272.0
Homebush West,2140,530,272.0
Horningsea Park,2171,,202.0
Hornsby,2077,400,262.0
Hornsby Heights,2077,400,262.0
Horsley Park,2175,,
Hoxton Park,2171,,202.0
Hunters Hill,2110,,275.0
Huntingwood,2148,330,194.0
Huntleys Cove,2111,500,284.0
Huntleys Point,2111,500,284.0
Hurlstone Park,2193,500,292.0
Hurstville,2220,520,272.0
Hurstville Grove,2220,520,272.0
Illawong,2234,,257.0
Ingleburn,2565,350,188.0
Ingleside,2101,528,354.0
Jamisontown,2750,430,199.0
Jannali,2226,,282.0
Jordan Springs,2747,330,174.0
Kangaroo Point,2224,,268.0
Kareela,2232,525,270.0
Kearns,2558,,164.0
Kellyville,2155,500,249.0
Kellyville Ridge,2155,500,249.0
Kemps Creek,2178,,
Kensington,2033,455,382.0
Kenthurst,2156,,
Kentlyn,2560,350,181.0
Killara,2071,550,318.0
Killarney Heights,2087,,
Kings Langley,2147,350,199.0
Kings Park,2148,330,194.0
Kingsford,2032,455,383.0
Kingsgrove,2208,,254.0
Kingswood,2747,330,174.0
Kirkham,2119,,
Kirrawee,2232,525,270.0
Kirribilli,2061,680,500.0
Kogarah,2217,540,270.0
Kogarah Bay,2217,540,270.0
Ku-ring-gai Chase,2084,,
Kurnell,2231,,
Kurraba Point,2089,500,355.0
Kyeemagh,2216,490,278.0
Kyle Bay,2221,,273.0
La Perouse,2036,700,403.0
Lakemba,2195,315,194.0
Lalor Park,2147,350,199.0
Lane Cove,2066,570,312.0
Lane Cove North,2066,570,312.0
Lane Cove West,2066,570,312.0
Lansdowne,2163,315,198.0
Lansvale,2166,280,167.0
Laughtondale,2775,,
Lavender Bay,2060,532,438.0
Leets Vale,2775,,
Leichhardt,2040,520,346.0
Len Waters Estate,2171,,202.0
Leppington,2179,,210.0
Lethbridge Park,2770,270,163.0
Leumeah,2560,350,181.0
Lewisham,2049,480,326.0
Liberty Grove,2138,482,402.0
Lidcombe,2141,550,265.0
Lilli Pilli,2229,450,279.0
Lilyfield,2040,520,346.0
Lindfield,2070,540,368.0
Linley Point,2066,570,312.0
Little Bay,2036,700,403.0
Liverpool,2170,400,207.0
Llandilo,2747,330,174.0
Loftus,2232,525,270.0
Londonderry,2753,,202.0
Long Point,2564,,183.0
Longueville,2066,570,312.0
Lovett Bay,2105,,
Lower Portland,2756,280,197.0
Lucas Heights,2234,,257.0
Luddenham,2745,,173.0
Lugarno,2210,470,253.0
Lurnea,2170,400,207.0
Macquarie Fields,2564,,183.0
Macquarie Links,2565,350,188.0
Macquarie Park,2113,600,315.0
Maianbar,2230,480,328.0
Malabar,2036,700,403.0
Manly,2095,650,486.0
Manly Vale,2093,568,396.0
Maraylya,2765,,214.0
Marayong,2148,330,194.0
Maroota,2040,520,346.0
Maroubra,2035,459,380.0
Marrickville,2204,480,315.0
Marsden Park,2765,,214.0
Marsfield,2122,438,261.0
Mascot,2020,679,433.0
Matraville,2036,700,403.0
Mays Hill,2145,450,228.0
McCarrs Creek,,,
McGraths Hill,2756,280,197.0
McMahons Point,2060,532,438.0
Meadowbank,2114,500,266.0
