Abbotsbury,Abbotsford,Acacia Gardens,Agnes Banks,Airds,Alexandria,Alfords Point,Allambie Heights,Allawah,Ambarvale,Annandale,Annangrove,Arcadia,Arncliffe,Arndell Park,Artarmon,Ashbury,Ashcroft,Ashfield,Asquith
0.0,109.0,110.0,162.0,102.0,111.0,99.0,156.0,120.0,98.0,117.0,143.0,186.0,111.0,123.0,134.0,89.0,37.0,87.0,97.0
109.0,0.0,96.0,160.0,128.0,65.0,101.0,109.0,75.0,124.0,39.0,117.0,158.0,74.0,129.0,49.0,40.0,97.0,31.0,68.0
110.0,96.0,0.0,112.0,145.0,96.0,109.0,109.0,105.0,141.0,93.0,43.0,121.0,105.0,56.0,76.0,81.0,93.0,68.0,75.0
162.0,160.0,112.0,0.0,186.0,125.0,143.0,185.0,149.0,181.0,127.0,136.0,271.0,149.0,114.0,131.0,129.0,153.0,101.0,108.0
102.0,128.0,145.0,186.0,0.0,100.0,102.0,144.0,115.0,35.0,116.0,182.0,204.0,94.0,161.0,129.0,110.0,116.0,121.0,120.0
111.0,65.0,96.0,125.0,100.0,0.0,65.0,89.0,55.0,99.0,45.0,117.0,154.0,36.0,118.0,58.0,45.0,96.0,27.0,63.0
99.0,101.0,109.0,143.0,102.0,65.0,0.0,135.0,54.0,105.0,95.0,142.0,183.0,66.0,139.0,99.0,71.0,95.0,77.0,78.0
156.0,109.0,109.0,185.0,144.0,89.0,135.0,0.0,111.0,151.0,82.0,105.0,152.0,95.0,156.0,45.0,99.0,141.0,78.0,121.0
120.0,75.0,105.0,149.0,115.0,55.0,54.0,111.0,0.0,95.0,63.0,127.0,171.0,25.0,127.0,67.0,56.0,100.0,52.0,87.0
98.0,124.0,141.0,181.0,35.0,99.0,105.0,151.0,95.0,0.0,108.0,159.0,215.0,86.0,145.0,121.0,102.0,93.0,104.0,112.0
117.0,39.0,93.0,127.0,116.0,45.0,95.0,82.0,63.0,108.0,0.0,119.0,159.0,54.0,121.0,60.0,33.0,106.0,25.0,84.0
143.0,117.0,43.0,136.0,182.0,117.0,142.0,105.0,127.0,159.0,119.0,0.0,53.0,108.0,132.0,88.0,126.0,174.0,105.0,117.0
186.0,158.0,121.0,271.0,204.0,154.0,183.0,152.0,171.0,215.0,159.0,53.0,0.0,124.0,155.0,106.0,116.0,162.0,92.0,105.0
111.0,74.0,105.0,149.0,94.0,36.0,66.0,95.0,25.0,86.0,54.0,108.0,124.0,0.0,116.0,56.0,59.0,95.0,53.0,95.0
123.0,129.0,56.0,114.0,161.0,118.0,139.0,156.0,127.0,145.0,121.0,132.0,155.0,116.0,0.0,108.0,91.0,116.0,78.0,90.0
134.0,49.0,76.0,131.0,129.0,58.0,99.0,45.0,67.0,121.0,60.0,88.0,106.0,56.0,108.0,0.0,64.0,107.0,43.0,83.0
89.0,40.0,81.0,129.0,110.0,45.0,71.0,99.0,56.0,102.0,33.0,126.0,116.0,59.0,91.0,64.0,0.0,98.0,10.0,55.0
37.0,97.0,93.0,153.0,116.0,96.0,95.0,141.0,100.0,93.0,106.0,174.0,162.0,95.0,116.0,107.0,98.0,0.0,66.0,67.0
87.0,31.0,68.0,101.0,121.0,27.0,77.0,78.0,52.0,104.0,25.0,105.0,92.0,53.0,78.0,43.0,10.0,66.0,0.0,44.0
97.0,68.0,75.0,108.0,120.0,63.0,78.0,121.0,87.0,112.0,84.0,117.0,105.0,95.0,90.0,83.0,55.0,67.0,44.0,0.0
